Freq.	V(out)*15.4882
1.46502258576486e+000	(1.64233655665873e+001dB,-7.41251977415486e-001°)
2.93004517152972e+000	(1.64204115958834e+001dB,-1.48210032730385e+000°)
4.39506775729459e+000	(1.64154929776095e+001dB,-2.22214254792631e+000°)
5.86009034305945e+000	(1.64086166938252e+001dB,-2.96097838366829e+000°)
7.32511292882431e+000	(1.63997924698043e+001dB,-3.69821092555350e+000°)
8.79013551458918e+000	(1.63890327341960e+001dB,-4.43344769300903e+000°)
1.02551581003540e+001	(1.63763525601585e+001dB,-5.16630168245309e+000°)
1.17201806861189e+001	(1.63617695971491e+001dB,-5.89639237886528e+000°)
1.31852032718838e+001	(1.63453039969889e+001dB,-6.62334672997626e+000°)
1.46502258576486e+001	(1.63269783149804e+001dB,-7.34680005683179e+000°)
1.61152484434135e+001	(1.63068174223529e+001dB,-8.06639692929474e+000°)
1.75802710291784e+001	(1.62848483903950e+001dB,-8.78179196255863e+000°)
1.90452936149432e+001	(1.62611003816455e+001dB,-9.49265056609329e+000°)
2.05103162007081e+001	(1.62356045277233e+001dB,-1.01986496186479e+001°)
2.19753387864730e+001	(1.62083938018780e+001dB,-1.08994780745414e+001°)
2.34403613722378e+001	(1.61795028909679e+001dB,-1.15948375057591e+001°)
2.49053839580027e+001	(1.61489680561278e+001dB,-1.22844425587283e+001°)
2.63704065437675e+001	(1.61168270023822e+001dB,-1.29680213604889e+001°)
2.78354291295324e+001	(1.60831187347838e+001dB,-1.36453158297172e+001°)
2.93004517152973e+001	(1.60478834229072e+001dB,-1.43160819363464e+001°)
3.07654743010621e+001	(1.60111622607246e+001dB,-1.49800898802461e+001°)
3.22304968868270e+001	(1.59729973316908e+001dB,-1.56371242129008e+001°)
3.36955194725919e+001	(1.59334314706204e+001dB,-1.62869838825104e+001°)
3.51605420583567e+001	(1.58925081316025e+001dB,-1.69294822243168e+001°)
3.66255646441216e+001	(1.58502712606350e+001dB,-1.75644468972010e+001°)
3.80905872298865e+001	(1.58067651704250e+001dB,-1.81917197612763e+001°)
3.95556098156513e+001	(1.57620344178731e+001dB,-1.88111566987592e+001°)
4.10206324014162e+001	(1.57161236893304e+001dB,-1.94226273950495e+001°)
4.24856549871810e+001	(1.56690776910548e+001dB,-2.00260150788451e+001°)
4.39506775729459e+001	(1.56209410453861e+001dB,-2.06212162230397e+001°)
4.54157001587108e+001	(1.55717581881576e+001dB,-2.12081401944924e+001°)
4.68807227444756e+001	(1.55215732819955e+001dB,-2.17867089083360e+001°)
4.83457453302405e+001	(1.54704301252163e+001dB,-2.23568564191309e+001°)
4.98107679160054e+001	(1.54183720720683e+001dB,-2.29185285059933e+001°)
5.12757905017702e+001	(1.53654419633712e+001dB,-2.34716822564782e+001°)
5.27408130875351e+001	(1.53116820523835e+001dB,-2.40162855930959e+001°)
5.42058356733000e+001	(1.52571339482155e+001dB,-2.45523168319761e+001°)
5.56708582590648e+001	(1.52018385589883e+001dB,-2.50797642107444e+001°)
5.71358808448297e+001	(1.51458360418458e+001dB,-2.55986254118124e+001°)
5.86009034305945e+001	(1.50891657574241e+001dB,-2.61089070801182e+001°)
6.00659260163594e+001	(1.50318662367995e+001dB,-2.66106243724716e+001°)
6.15309486021243e+001	(1.49739751420746e+001dB,-2.71038004561924e+001°)
6.29959711878891e+001	(1.49155292411432e+001dB,-2.75884660535557e+001°)
6.44609937736540e+001	(1.48565643835970e+001dB,-2.80646589773111e+001°)
6.59260163594189e+001	(1.47971154834310e+001dB,-2.85324236871500e+001°)
6.73910389451837e+001	(1.47372165023858e+001dB,-2.89918108343528e+001°)
6.88560615309486e+001	(1.46769004386115e+001dB,-2.94428768268683e+001°)
7.03210841167135e+001	(1.46161993225406e+001dB,-2.98856834258719e+001°)
7.17861067024783e+001	(1.45551442095269e+001dB,-3.03202973174122e+001°)
7.32511292882432e+001	(1.44937651830754e+001dB,-3.07467897406033e+001°)
7.47161518740081e+001	(1.44320913516879e+001dB,-3.11652360757678e+001°)
7.61811744597730e+001	(1.43701508604729e+001dB,-3.15757155207726e+001°)
7.76461970455378e+001	(1.43079708932284e+001dB,-3.19783107086754e+001°)
7.91112196313027e+001	(1.42455776827590e+001dB,-3.23731073774175e+001°)
8.05762422170676e+001	(1.41829965260358e+001dB,-3.27601940779465e+001°)
8.20412648028324e+001	(1.41202517927371e+001dB,-3.31396618370520e+001°)
8.35062873885973e+001	(1.40573669416005e+001dB,-3.35116038834427e+001°)
8.49713099743622e+001	(1.39943645365998e+001dB,-3.38761153735198e+001°)
8.64363325601271e+001	(1.39312662637334e+001dB,-3.42332931303734e+001°)
8.79013551458919e+001	(1.38680929500970e+001dB,-3.45832354080582e+001°)
8.93663777316568e+001	(1.38048645803964e+001dB,-3.49260416423309e+001°)
9.08314003174217e+001	(1.37416003193549e+001dB,-3.52618122541712e+001°)
9.22964229031865e+001	(1.36783185309569e+001dB,-3.55906484429971e+001°)
9.37614454889514e+001	(1.36150367978627e+001dB,-3.59126519831654e+001°)
9.52264680747163e+001	(1.35517719435899e+001dB,-3.62279250598977e+001°)
9.66914906604812e+001	(1.34885400546621e+001dB,-3.65365701077364e+001°)
9.81565132462460e+001	(1.34253564998179e+001dB,-3.68386896431826e+001°)
9.96215358320109e+001	(1.33622359522646e+001dB,-3.71343861267716e+001°)
