Freq.	V(out)*15.4882
2.93004517152973e+000	(1.64204115958834e+001dB,-1.48210032730385e+000°)
5.86009034305946e+000	(1.64086166938252e+001dB,-2.96097838366829e+000°)
8.79013551458918e+000	(1.63890327341960e+001dB,-4.43344769300904e+000°)
1.17201806861189e+001	(1.63617695971491e+001dB,-5.89639237886529e+000°)
1.46502258576486e+001	(1.63269783149804e+001dB,-7.34680005683179e+000°)
1.75802710291784e+001	(1.62848483903950e+001dB,-8.78179196255863e+000°)
2.05103162007081e+001	(1.62356045277233e+001dB,-1.01986496186479e+001°)
2.34403613722378e+001	(1.61795028909679e+001dB,-1.15948375057591e+001°)
2.63704065437675e+001	(1.61168270023822e+001dB,-1.29680213604890e+001°)
2.93004517152973e+001	(1.60478834229072e+001dB,-1.43160819363464e+001°)
3.22304968868270e+001	(1.59729973316908e+001dB,-1.56371242129008e+001°)
3.51605420583567e+001	(1.58925081316025e+001dB,-1.69294822243168e+001°)
3.80905872298865e+001	(1.58067651704252e+001dB,-1.81917197612727e+001°)
4.10206324014162e+001	(1.57161236893304e+001dB,-1.94226273950495e+001°)
4.39506775729459e+001	(1.56209410453861e+001dB,-2.06212162230397e+001°)
4.68807227444756e+001	(1.55215732819957e+001dB,-2.17867089083325e+001°)
4.98107679160054e+001	(1.54183720720683e+001dB,-2.29185285059933e+001°)
5.27408130875351e+001	(1.53116820523835e+001dB,-2.40162855930959e+001°)
5.56708582590648e+001	(1.52018385589883e+001dB,-2.50797642107444e+001°)
5.86009034305945e+001	(1.50891657574241e+001dB,-2.61089070801182e+001°)
6.15309486021243e+001	(1.49739751420746e+001dB,-2.71038004561924e+001°)
6.44609937736540e+001	(1.48565643835970e+001dB,-2.80646589773111e+001°)
6.73910389451837e+001	(1.47372165023858e+001dB,-2.89918108343528e+001°)
7.03210841167135e+001	(1.46161993225406e+001dB,-2.98856834258719e+001°)
7.32511292882432e+001	(1.44937651830754e+001dB,-3.07467897406033e+001°)
7.61811744597729e+001	(1.43701508604728e+001dB,-3.15757155207740e+001°)
7.91112196313026e+001	(1.42455776827589e+001dB,-3.23731073774188e+001°)
8.20412648028324e+001	(1.41202517927371e+001dB,-3.31396618370520e+001°)
8.49713099743621e+001	(1.39943645365998e+001dB,-3.38761153735191e+001°)
8.79013551458918e+001	(1.38680929500970e+001dB,-3.45832354080582e+001°)
9.08314003174216e+001	(1.37416003193549e+001dB,-3.52618122541712e+001°)
9.37614454889513e+001	(1.36150367978627e+001dB,-3.59126519831653e+001°)
9.66914906604810e+001	(1.34885400546621e+001dB,-3.65365701077363e+001°)
9.96215358320107e+001	(1.33622359522646e+001dB,-3.71343861267716e+001°)
1.02551581003540e+002	(1.32362392233759e+001dB,-3.77069187285250e+001°)
1.05481626175070e+002	(1.31106541574085e+001dB,-3.82549817604939e+001°)
1.08411671346600e+002	(1.29855752683069e+001dB,-3.87793807351854e+001°)
1.11341716518130e+002	(1.28610879522359e+001dB,-3.92809099429188e+001°)
1.14271761689659e+002	(1.27372691209162e+001dB,-3.97603500285465e+001°)
1.17201806861189e+002	(1.26141878114189e+001dB,-4.02184660216031e+001°)
1.20131852032719e+002	(1.24919057693513e+001dB,-4.06560057594252e+001°)
1.23061897204249e+002	(1.23704780021441e+001dB,-4.10736986537742e+001°)
1.25991942375778e+002	(1.22499533015403e+001dB,-4.14722547429589e+001°)
1.28921987547308e+002	(1.21303747367858e+001dB,-4.18523640092254e+001°)
1.31852032718838e+002	(1.20117801167553e+001dB,-4.22146959232496e+001°)
1.34782077890368e+002	(1.18942024240665e+001dB,-4.25598991977777e+001°)
1.37712123061897e+002	(1.17776702164794e+001dB,-4.28886016570861e+001°)
1.40642168233427e+002	(1.16622080045134e+001dB,-4.32014102961246e+001°)
1.43572213404957e+002	(1.15478365988781e+001dB,-4.34989114171995e+001°)
1.46502258576486e+002	(1.14345734350851e+001dB,-4.37816708968729e+001°)
1.49432303748016e+002	(1.13224328719402e+001dB,-4.40502345048422e+001°)
1.52362348919546e+002	(1.12114264672475e+001dB,-4.43051282866578e+001°)
1.55292394091076e+002	(1.11015632340811e+001dB,-4.45468590271834e+001°)
1.58222439262605e+002	(1.09928498739758e+001dB,-4.47759147136522e+001°)
1.61152484434135e+002	(1.08852909941896e+001dB,-4.49927650648317e+001°)
1.64082529605665e+002	(1.07788893056264e+001dB,-4.51978620577809e+001°)
1.67012574777195e+002	(1.06736458051617e+001dB,-4.53916404780003e+001°)
1.69942619948724e+002	(1.05695599432897e+001dB,-4.55745184880803e+001°)
1.72872665120254e+002	(1.04666297764140e+001dB,-4.57468981661427e+001°)
1.75802710291784e+002	(1.03648521085274e+001dB,-4.59091661001692e+001°)
1.78732755463314e+002	(1.02642226189077e+001dB,-4.60616939222045e+001°)
1.81662800634843e+002	(1.01647359797211e+001dB,-4.62048388724288e+001°)
1.84592845806373e+002	(1.00663859638484e+001dB,-4.63389443371489e+001°)
1.87522890977903e+002	(9.96916554231418e+000dB,-4.64643403745411e+001°)
1.90452936149433e+002	(9.87306697475737e+000dB,-4.65813442504455e+001°)
1.93382981320962e+002	(9.77808189024392e+000dB,-4.66902609269132e+001°)
1.96313026492492e+002	(9.68420136239624e+000dB,-4.67913835571441e+001°)
1.99243071664022e+002	(9.59141597707536e+000dB,-4.68849939731361e+001°)
2.02173116835552e+002	(9.49971589410359e+000dB,-4.69713631221811e+001°)
2.05103162007081e+002	(9.40909090378425e+000dB,-4.70507515371538e+001°)
2.08033207178611e+002	(9.31953047805495e+000dB,-4.71234097528191e+001°)
2.10963252350141e+002	(9.23102381658263e+000dB,-4.71895787097035e+001°)
2.13893297521671e+002	(9.14355988983291e+000dB,-4.72494901735944e+001°)
2.16823342693200e+002	(9.05712747647523e+000dB,-4.73033670914727e+001°)
2.19753387864730e+002	(8.97171519882339e+000dB,-4.73514239817084e+001°)
2.22683433036260e+002	(8.88731155407909e+000dB,-4.73938672657483e+001°)
2.25613478207789e+002	(8.80390494294470e+000dB,-4.74308956190299e+001°)
2.28543523379319e+002	(8.72148369531094e+000dB,-4.74627002872327e+001°)
2.31473568550849e+002	(8.64003609389570e+000dB,-4.74894653979207e+001°)
2.34403613722379e+002	(8.55955039450128e+000dB,-4.75113682586151e+001°)
2.37333658893908e+002	(8.48001484598480e+000dB,-4.75285796293120e+001°)
2.40263704065438e+002	(8.40141770641109e+000dB,-4.75412640113036e+001°)
2.43193749236968e+002	(8.32374725893383e+000dB,-4.75495798924896e+001°)
2.46123794408498e+002	(8.24699182526685e+000dB,-4.75536800018255e+001°)
2.49053839580027e+002	(8.17113977784429e+000dB,-4.75537115372262e+001°)
2.51983884751557e+002	(8.09617955125293e+000dB,-4.75498164139472e+001°)
2.54913929923087e+002	(8.02209965150333e+000dB,-4.75421314472888e+001°)
2.57843975094617e+002	(7.94888866493827e+000dB,-4.75307885971736e+001°)
2.60774020266146e+002	(7.87653526611270e+000dB,-4.75159151311618e+001°)
2.63704065437676e+002	(7.80502822387662e+000dB,-4.74976338399418e+001°)
2.66634110609206e+002	(7.73435640818836e+000dB,-4.74760631983182e+001°)
2.69564155780736e+002	(7.66450879474404e+000dB,-4.74513175567972e+001°)
2.72494200952265e+002	(7.59547446958141e+000dB,-4.74235072875695e+001°)
2.75424246123795e+002	(7.52724263306864e+000dB,-4.73927389552176e+001°)
2.78354291295325e+002	(7.45980260322070e+000dB,-4.73591154536524e+001°)
