Freq.	V(out)*15.4882
2.93004517152973e+000	(-6.62271277055565e-003dB,-6.10768506602350e-002°)
5.86009034305946e+000	(-6.64068571978715e-003dB,-1.22153513175344e-001°)
8.79013551458918e+000	(-6.67064069515206e-003dB,-1.83229799441871e-001°)
1.17201806861189e+001	(-6.71257728714666e-003dB,-2.44305521353520e-001°)
1.46502258576486e+001	(-6.76649498555827e-003dB,-3.05380490788037e-001°)
1.75802710291784e+001	(-6.83239344237982e-003dB,-3.66454519664267e-001°)
2.05103162007081e+001	(-6.91027224833791e-003dB,-4.27527419891504e-001°)
2.34403613722378e+001	(-7.00013049920534e-003dB,-4.88599003424090e-001°)
2.63704065437675e+001	(-7.10196755811533e-003dB,-5.49669082216614e-001°)
2.93004517152973e+001	(-7.21578271386013e-003dB,-6.10737468247617e-001°)
3.22304968868270e+001	(-7.34157485235476e-003dB,-6.71803973541797e-001°)
3.51605420583567e+001	(-7.47934302178765e-003dB,-7.32868410141487e-001°)
3.80905872298865e+001	(-7.62908568353484e-003dB,-7.93930590153458e-001°)
4.10206324014162e+001	(-7.79080218413472e-003dB,-8.54990325651990e-001°)
4.39506775729459e+001	(-7.96449065257471e-003dB,-9.16047428839342e-001°)
4.68807227444756e+001	(-8.15014991904082e-003dB,-9.77101711891235e-001°)
4.98107679160054e+001	(-8.34777833223143e-003dB,-1.03815298706911e+000°)
5.27408130875351e+001	(-8.55737403538687e-003dB,-1.09920106669901e+000°)
5.56708582590648e+001	(-8.77893554446556e-003dB,-1.16024576309978e+000°)
5.86009034305945e+001	(-9.01246110430681e-003dB,-1.22128688866826e+000°)
6.15309486021243e+001	(-9.25794807132589e-003dB,-1.28232425596937e+000°)
6.44609937736540e+001	(-9.51539521257495e-003dB,-1.34335767741810e+000°)
6.73910389451837e+001	(-9.78479976306204e-003dB,-1.40438696570266e+000°)
7.03210841167135e+001	(-1.00661597247967e-002dB,-1.46541193345067e+000°)
7.32511292882432e+001	(-1.03594727633515e-002dB,-1.52643239339714e+000°)
7.61811744597729e+001	(-1.06647361817216e-002dB,-1.58744815839992e+000°)
7.91112196313026e+001	(-1.09819477871737e-002dB,-1.64845904128279e+000°)
8.20412648028324e+001	(-1.13111045386582e-002dB,-1.70946485509004e+000°)
8.49713099743621e+001	(-1.16522036106536e-002dB,-1.77046541289899e+000°)
8.79013551458918e+001	(-1.20052427476453e-002dB,-1.83146052773006e+000°)
9.08314003174216e+001	(-1.23702182027811e-002dB,-1.89245001298451e+000°)
9.37614454889513e+001	(-1.27471274427403e-002dB,-1.95343368188138e+000°)
9.66914906604810e+001	(-1.31359671127104e-002dB,-2.01441134789108e+000°)
9.96215358320107e+001	(-1.35367339292889e-002dB,-2.07538282454561e+000°)
1.02551581003540e+002	(-1.39494245623953e-002dB,-2.13634792546979e+000°)
1.05481626175070e+002	(-1.43740354647209e-002dB,-2.19730646442233e+000°)
1.08411671346600e+002	(-1.48105631343391e-002dB,-2.25825825523673e+000°)
1.11341716518130e+002	(-1.52590040753327e-002dB,-2.31920311182645e+000°)
1.14271761689659e+002	(-1.57193541681814e-002dB,-2.38014084836164e+000°)
1.17201806861189e+002	(-1.61916099818722e-002dB,-2.44107127891901e+000°)
1.20131852032719e+002	(-1.66757671996352e-002dB,-2.50199421791127e+000°)
1.23061897204249e+002	(-1.71718217473426e-002dB,-2.56290947978238e+000°)
1.25991942375778e+002	(-1.76797696885932e-002dB,-2.62381687903674e+000°)
1.28921987547308e+002	(-1.81996066869986e-002dB,-2.68471623039247e+000°)
1.31852032718838e+002	(-1.87313283474508e-002dB,-2.74560734869425e+000°)
1.34782077890368e+002	(-1.92749302292479e-002dB,-2.80649004890397e+000°)
1.37712123061897e+002	(-1.98304078069154e-002dB,-2.86736414612061e+000°)
1.40642168233427e+002	(-2.03977564178664e-002dB,-2.92822945559746e+000°)
1.43572213404957e+002	(-2.09769713281017e-002dB,-2.98908579272591e+000°)
