Freq.	V(out)*15.4882
5.86009034305946e+000	(-2.01833442150274e+001dB,2.29902036748184e+000°)
1.17201806861189e+001	(-2.01579048148532e+001dB,4.58800405505870e+000°)
1.75802710291784e+001	(-2.01158405394799e+001dB,6.85714996755111e+000°)
2.34403613722378e+001	(-2.00576399018601e+001dB,9.09711453640425e+000°)
2.93004517152973e+001	(-1.99839607856443e+001dB,1.12992078272256e+001°)
3.51605420583567e+001	(-1.98956068589143e+001dB,1.34555542811983e+001°)
4.10206324014162e+001	(-1.97935003853525e+001dB,1.55592119976842e+001°)
4.68807227444756e+001	(-1.96786532298546e+001dB,1.76042481694906e+001°)
5.27408130875351e+001	(-1.95521377706423e+001dB,1.95857717570125e+001°)
5.86009034305945e+001	(-1.94150591937424e+001dB,2.14999273479639e+001°)
6.44609937736540e+001	(-1.92685303184882e+001dB,2.33438561689720e+001°)
7.03210841167135e+001	(-1.91136497336248e+001dB,2.51156313317958e+001°)
7.61811744597729e+001	(-1.89514836652203e+001dB,2.68141746850977e+001°)
8.20412648028324e+001	(-1.87830516850331e+001dB,2.84391622672296e+001°)
8.79013551458918e+001	(-1.86093161176425e+001dB,2.99909245206122e+001°)
9.37614454889513e+001	(-1.84311748297927e+001dB,3.14703463366661e+001°)
9.96215358320107e+001	(-1.82494569755731e+001dB,3.28787708238995e+001°)
1.05481626175070e+002	(-1.80649212213545e+001dB,3.42179095596452e+001°)
1.11341716518130e+002	(-1.78782559693970e+001dB,3.54897610810041e+001°)
1.17201806861189e+002	(-1.76900811260733e+001dB,3.66965385358092e+001°)
1.23061897204249e+002	(-1.75009510066005e+001dB,3.78406067618753e+001°)
1.28921987547308e+002	(-1.73113580258329e+001dB,3.89244285835210e+001°)
1.34782077890367e+002	(-1.71217368829199e+001dB,3.99505197868573e+001°)
1.40642168233427e+002	(-1.69324690081067e+001dB,4.09214120331566e+001°)
1.46502258576486e+002	(-1.67438870869541e+001dB,4.18396228645989e+001°)
1.52362348919546e+002	(-1.65562795290919e+001dB,4.27076319244046e+001°)
1.58222439262605e+002	(-1.63698947816259e+001dB,4.35278625310045e+001°)
1.64082529605665e+002	(-1.61849454214120e+001dB,4.43026677967889e+001°)
1.69942619948724e+002	(-1.60016119842290e+001dB,4.50343205520319e+001°)
1.75802710291784e+002	(-1.58200465082774e+001dB,4.57250064140210e+001°)
1.81662800634843e+002	(-1.56403757831195e+001dB,4.63768194231129e+001°)
1.87522890977903e+002	(-1.54627043069562e+001dB,4.69917597468572e+001°)
1.93382981320962e+002	(-1.52871169607770e+001dB,4.75717330273213e+001°)
1.99243071664021e+002	(-1.51136814141642e+001dB,4.81185510140357e+001°)
2.05103162007081e+002	(-1.49424502801958e+001dB,4.86339331846641e+001°)
2.10963252350140e+002	(-1.47734630374963e+001dB,4.91195091075291e+001°)
2.16823342693200e+002	(-1.46067477398608e+001dB,4.95768213450945e+001°)
2.22683433036259e+002	(-1.44423225322357e+001dB,5.00073287355793e+001°)
2.28543523379319e+002	(-1.42801969913745e+001dB,5.04124099220314e+001°)
2.34403613722378e+002	(-1.41203733094952e+001dB,5.07933670251117e+001°)
2.40263704065438e+002	(-1.39628473369720e+001dB,5.11514293780262e+001°)
2.46123794408497e+002	(-1.38076094991177e+001dB,5.14877572603526e+001°)
2.51983884751557e+002	(-1.36546456015183e+001dB,5.18034455825369e+001°)
2.57843975094616e+002	(-1.35039375356714e+001dB,5.20995274848664e+001°)
2.63704065437676e+002	(-1.33554638970418e+001dB,5.23769778246384e+001°)
2.69564155780735e+002	(-1.32092005255418e+001dB,5.26367165330143e+001°)
2.75424246123794e+002	(-1.30651209772780e+001dB,5.28796118292668e+001°)
2.81284336466854e+002	(-1.29231969359631e+001dB,5.31064832850836e+001°)
2.87144426809913e+002	(-1.27833985710092e+001dB,5.33181047353739e+001°)
2.93004517152973e+002	(-1.26456948492864e+001dB,5.35152070350568e+001°)
2.98864607496032e+002	(-1.25100538052310e+001dB,5.36984806634019e+001°)
3.04724697839092e+002	(-1.23764427751325e+001dB,5.38685781793383e+001°)
3.10584788182151e+002	(-1.22448285999752e+001dB,5.40261165322880e+001°)
3.16444878525211e+002	(-1.21151777999601e+001dB,5.41716792338592e+001°)
3.22304968868270e+002	(-1.19874567252072e+001dB,5.43058183964895e+001°)
3.28165059211330e+002	(-1.18616316848568e+001dB,5.44290566452880e+001°)
3.34025149554389e+002	(-1.17376690574938e+001dB,5.45418889095990e+001°)
3.39885239897449e+002	(-1.16155353856234e+001dB,5.46447841008700e+001°)
3.45745330240508e+002	(-1.14951974551667e+001dB,5.47381866831757e+001°)
3.51605420583568e+002	(-1.13766223631723e+001dB,5.48225181428799e+001°)
3.57465510926627e+002	(-1.12597775742706e+001dB,5.48981783634619e+001°)
3.63325601269687e+002	(-1.11446309676825e+001dB,5.49655469114518e+001°)
3.69185691612746e+002	(-1.10311508761865e+001dB,5.50249842391431e+001°)
3.75045781955806e+002	(-1.09193061173113e+001dB,5.50768328093627e+001°)
3.80905872298865e+002	(-1.08090660188345e+001dB,5.51214181475156e+001°)
3.86765962641925e+002	(-1.07004004384967e+001dB,5.51590498256076e+001°)
3.92626052984984e+002	(-1.05932797794704e+001dB,5.51900223828670e+001°)
3.98486143328044e+002	(-1.04876750006421e+001dB,5.52146161870237e+001°)
4.04346233671103e+002	(-1.03835576248810e+001dB,5.52330982405541e+001°)
4.10206324014163e+002	(-1.02808997429269e+001dB,5.52457229352674e+001°)
4.16066414357222e+002	(-1.01796740154749e+001dB,5.52527327589895e+001°)
4.21926504700282e+002	(-1.00798536726113e+001dB,5.52543589574431e+001°)
4.27786595043341e+002	(-9.98141251168435e+000dB,5.52508221544598e+001°)
4.33646685386401e+002	(-9.88432489297271e+000dB,5.52423329332274e+001°)
4.39506775729460e+002	(-9.78856573463776e+000dB,5.52290923813726e+001°)
4.45366866072519e+002	(-9.69411050616856e+000dB,5.52112926021962e+001°)
4.51226956415579e+002	(-9.60093522091892e+000dB,5.51891171943967e+001°)
4.57087046758638e+002	(-9.50901642759585e+000dB,5.51627417023580e+001°)
4.62947137101698e+002	(-9.41833120171549e+000dB,5.51323340390992e+001°)
4.68807227444757e+002	(-9.32885713601735e+000dB,5.50980548835602e+001°)
4.74667317787817e+002	(-9.24057233045317e+000dB,5.50600580539975e+001°)
4.80527408130876e+002	(-9.15345538222568e+000dB,5.50184908591312e+001°)
4.86387498473936e+002	(-9.06748537539930e+000dB,5.49734944284354e+001°)
4.92247588816995e+002	(-8.98264187008551e+000dB,5.49252040229315e+001°)
4.98107679160055e+002	(-8.89890489207865e+000dB,5.48737493278763e+001°)
5.03967769503114e+002	(-8.81625492208417e+000dB,5.48192547283968e+001°)
5.09827859846174e+002	(-8.73467288482442e+000dB,5.47618395692055e+001°)
5.15687950189233e+002	(-8.65414013876220e+000dB,5.47016183995291e+001°)
5.21548040532293e+002	(-8.57463846490565e+000dB,5.46387012039623e+001°)
5.27408130875352e+002	(-8.49615005713374e+000dB,5.45731936205083e+001°)
5.33268221218412e+002	(-8.41865751124967e+000dB,5.45051971461919e+001°)
5.39128311561471e+002	(-8.34214381489783e+000dB,5.44348093313447e+001°)
5.44988401904531e+002	(-8.26659233771669e+000dB,5.43621239631809e+001°)
5.50848492247590e+002	(-8.19198682133441e+000dB,5.42872312392626e+001°)
5.56708582590650e+002	(-8.11831136962514e+000dB,5.42102179315447e+001°)
5.62568672933709e+002	(-8.04555043945754e+000dB,5.41311675416131e+001°)
5.68428763276769e+002	(-7.97368883128503e+000dB,5.40501604475534e+001°)
5.74288853619828e+002	(-7.90271168007205e+000dB,5.39672740430317e+001°)
5.80148943962888e+002	(-7.83260444651801e+000dB,5.38825828690532e+001°)
5.86009034305947e+002	(-7.76335290845450e+000dB,5.37961587388198e+001°)
5.91869124649006e+002	(-7.69494315233362e+000dB,5.37080708560785e+001°)
5.97729214992066e+002	(-7.62736156494635e+000dB,5.36183859273719e+001°)
6.03589305335125e+002	(-7.56059482581817e+000dB,5.35271682686254e+001°)
6.09449395678185e+002	(-7.49462989896574e+000dB,5.34344799061805e+001°)
6.15309486021244e+002	(-7.42945402570424e+000dB,5.33403806728799e+001°)
6.21169576364304e+002	(-7.36505471704863e+000dB,5.32449282992458e+001°)
6.27029666707363e+002	(-7.30141974668456e+000dB,5.31481785001982e+001°)
6.32889757050423e+002	(-7.23853714401584e+000dB,5.30501850574837e+001°)
6.38749847393482e+002	(-7.17639518742471e+000dB,5.29509998980806e+001°)
6.44609937736542e+002	(-7.11498239762931e+000dB,5.28506731687882e+001°)
6.50470028079601e+002	(-7.05428753135735e+000dB,5.27492533072494e+001°)
6.56330118422661e+002	(-6.99429957535948e+000dB,5.26467871096138e+001°)
6.62190208765720e+002	(-6.93500774006079e+000dB,5.25433197948996e+001°)
6.68050299108780e+002	(-6.87640145389169e+000dB,5.24388950664181e+001°)
6.73910389451839e+002	(-6.81847035788949e+000dB,5.23335551703575e+001°)
6.79770479794899e+002	(-6.76120429968743e+000dB,5.22273409515103e+001°)
6.85630570137958e+002	(-6.70459332872721e+000dB,5.21202919066375e+001°)
6.91490660481018e+002	(-6.64862769079446e+000dB,5.20124462352486e+001°)
6.97350750824077e+002	(-6.59329782295998e+000dB,5.19038408881310e+001°)
7.03210841167137e+002	(-6.53859434907552e+000dB,5.17945116137791e+001°)
7.09070931510196e+002	(-6.48450807455187e+000dB,5.16844930025944e+001°)
7.14931021853256e+002	(-6.43102998223964e+000dB,5.15738185293130e+001°)
7.20791112196315e+002	(-6.37815122770965e+000dB,5.14625205934357e+001°)
7.26651202539375e+002	(-6.32586313515387e+000dB,5.13506305579918e+001°)
7.32511292882434e+002	(-6.27415719295631e+000dB,5.12381787865398e+001°)
7.38371383225494e+002	(-6.22302504991799e+000dB,5.11251946786870e+001°)
7.44231473568553e+002	(-6.17245851108872e+000dB,5.10117067039988e+001°)
7.50091563911613e+002	(-6.12244953411964e+000dB,5.08977424345557e+001°)
7.55951654254672e+002	(-6.07299022550718e+000dB,5.07833285761044e+001°)
7.61811744597731e+002	(-6.02407283691983e+000dB,5.06684909979086e+001°)
7.67671834940791e+002	(-5.97568976185380e+000dB,5.05532547614125e+001°)
7.73531925283850e+002	(-5.92783353216991e+000dB,5.04376441476893e+001°)
7.79392015626910e+002	(-5.88049681478612e+000dB,5.03216826837828e+001°)
7.85252105969969e+002	(-5.83367240850859e+000dB,5.02053931679982e+001°)
7.91112196313029e+002	(-5.78735324101225e+000dB,5.00887976941908e+001°)
7.96972286656088e+002	(-5.74153236574510e+000dB,4.99719176750574e+001°)
8.02832376999148e+002	(-5.69620295900422e+000dB,4.98547738645272e+001°)
8.08692467342207e+002	(-5.65135831713775e+000dB,4.97373863792829e+001°)
8.14552557685267e+002	(-5.60699185381592e+000dB,4.96197747194464e+001°)
8.20412648028326e+002	(-5.56309709736710e+000dB,4.95019577884626e+001°)
8.26272738371386e+002	(-5.51966768802489e+000dB,4.93839539121897e+001°)
8.32132828714445e+002	(-5.47669737563785e+000dB,4.92657808573422e+001°)
8.37992919057505e+002	(-5.43418001702151e+000dB,4.91474558491532e+001°)
8.43853009400564e+002	(-5.39210957367128e+000dB,4.90289955884328e+001°)
8.49713099743624e+002	(-5.35048010947351e+000dB,4.89104162679814e+001°)
8.55573190086683e+002	(-5.30928578834334e+000dB,4.87917335883664e+001°)
8.61433280429743e+002	(-5.26852087211979e+000dB,4.86729627731630e+001°)
8.67293370772802e+002	(-5.22817971850808e+000dB,4.85541185836386e+001°)
8.73153461115862e+002	(-5.18825677866569e+000dB,4.84352153328181e+001°)
8.79013551458921e+002	(-5.14874659580132e+000dB,4.83162668992483e+001°)
8.84873641801981e+002	(-5.10964380261064e+000dB,4.81972867400150e+001°)
8.90733732145040e+002	(-5.07094311961065e+000dB,4.80782879034772e+001°)
8.96593822488100e+002	(-5.03263935342856e+000dB,4.79592830415363e+001°)
9.02453912831159e+002	(-4.99472739471252e+000dB,4.78402844213851e+001°)
9.08314003174219e+002	(-4.95720221668564e+000dB,4.77213039369778e+001°)
9.14174093517278e+002	(-4.92005887318007e+000dB,4.76023531199850e+001°)
9.20034183860338e+002	(-4.88329249703517e+000dB,4.74834431504419e+001°)
9.25894274203397e+002	(-4.84689829859492e+000dB,4.73645848670482e+001°)
9.31754364546456e+002	(-4.81087156399930e+000dB,4.72457887770679e+001°)
9.37614454889516e+002	(-4.77520765369707e+000dB,4.71270650659359e+001°)
